No,lambda,mu,m,n,theta,T
181,9.9999999999999995e-07,1.0000000000000000e+02,1,65527,6.8514678955708582e+29,1.0006556896406326e-02
182,9.9999999999999995e-07,1.0000000000000000e+02,1,65528,4.4895613679307153e+26,1.0006556996537509e-02
183,9.9999999999999995e-07,1.0000000000000000e+02,1,65529,2.9419197731776398e+23,1.0006557096668691e-02
184,9.9999999999999995e-07,1.0000000000000000e+02,1,65530,1.9278106081655760e+20,1.0006557196799874e-02
185,9.9999999999999995e-07,1.0000000000000000e+02,1,65531,1.2632942915309018e+17,1.0006557296931062e-02
186,9.9999999999999995e-07,1.0000000000000000e+02,1,65532,8.2784938218311516e+13,1.0006557397062250e-02
187,9.9999999999999995e-07,1.0000000000000000e+02,1,65533,5.4250625713213890e+10,1.0006557497193444e-02
188,9.9999999999999995e-07,1.0000000000000000e+02,1,65534,3.5552062538640454e+07,1.0006557597324635e-02
189,9.9999999999999995e-07,1.0000000000000000e+02,1,65535,2.3298678664072635e+04,1.0006557697455830e-02
190,9.9999999999999995e-07,1.0000000000000000e+02,1,65536,1.5258789062500000e+01,1.0006557797587029e-02
191,9.9999999999999995e-07,1.0000000000000000e+02,2,65527,1.7539754044850037e+32,5.0016386868747837e-03
192,9.9999999999999995e-07,1.0000000000000000e+02,2,65528,5.7466373164844413e+28,5.0016387118911746e-03
193,9.9999999999999995e-07,1.0000000000000000e+02,2,65529,1.8828282503729627e+25,5.0016387369075637e-03
194,9.9999999999999995e-07,1.0000000000000000e+02,2,65530,6.1689926209344949e+21,5.0016387619239537e-03
195,9.9999999999999995e-07,1.0000000000000000e+02,2,65531,2.0212704322491871e+18,5.0016387869403446e-03
196,9.9999999999999995e-07,1.0000000000000000e+02,2,65532,6.6227936347860725e+14,5.0016388119567346e-03
197,9.9999999999999995e-07,1.0000000000000000e+02,2,65533,2.1700245623739545e+11,5.0016388369731254e-03
198,9.9999999999999995e-07,1.0000000000000000e+02,2,65534,7.1104109818026170e+07,5.0016388619895172e-03
199,9.9999999999999995e-07,1.0000000000000000e+02,2,65535,2.3298678664072635e+04,5.0016388870059081e-03
200,9.9999999999999995e-07,1.0000000000000000e+02,2,65536,1.5258789062500000e+01,1.0003277824044600e-02
201,9.9999999999999995e-07,1.0000000000000000e+02,3,65527,2.9968314136865161e+33,3.3340615590566349e-03
202,9.9999999999999995e-07,1.0000000000000000e+02,3,65528,6.5457790681545440e+29,3.3340615701726007e-03
203,9.9999999999999995e-07,1.0000000000000000e+02,3,65529,1.4297727025934371e+26,3.3340615812885673e-03
204,9.9999999999999995e-07,1.0000000000000000e+02,3,65530,3.1230525142748447e+22,3.3340615924045340e-03
205,9.9999999999999995e-07,1.0000000000000000e+02,3,65531,6.8217877086810184e+18,3.3340616035205006e-03
206,9.9999999999999995e-07,1.0000000000000000e+02,3,65532,1.4901285677919190e+15,3.3340616146364673e-03
207,9.9999999999999995e-07,1.0000000000000000e+02,3,65533,3.2550368434846338e+11,3.3340616257524344e-03
208,9.9999999999999995e-07,1.0000000000000000e+02,3,65534,7.1104109818026170e+07,3.3340616368684015e-03
209,9.9999999999999995e-07,1.0000000000000000e+02,3,65535,2.3298678664072635e+04,5.0010924719765528e-03
210,9.9999999999999995e-07,1.0000000000000000e+02,3,65536,1.5258789062500000e+01,1.0003277465951510e-02
211,9.9999999999999995e-07,1.0000000000000000e+03,1,65527,6.8474264705564749e+38,1.0000655302938725e-03
212,9.9999999999999995e-07,1.0000000000000000e+03,1,65528,4.4869131433615407e+34,1.0000655312940037e-03
213,9.9999999999999995e-07,1.0000000000000000e+03,1,65529,2.9401844445819508e+30,1.0000655322941346e-03
214,9.9999999999999995e-07,1.0000000000000000e+03,1,65530,1.9266734646901069e+26,1.0000655332942658e-03
215,9.9999999999999995e-07,1.0000000000000000e+03,1,65531,1.2625491214114266e+22,1.0000655342943968e-03
216,9.9999999999999995e-07,1.0000000000000000e+03,1,65532,8.2736106475212186e+17,1.0000655352945280e-03
217,9.9999999999999995e-07,1.0000000000000000e+03,1,65533,5.4218625295336047e+13,1.0000655362946589e-03
218,9.9999999999999995e-07,1.0000000000000000e+03,1,65534,3.5531091714782572e+09,1.0000655372947901e-03
219,9.9999999999999995e-07,1.0000000000000000e+03,1,65535,2.3284945544365607e+05,1.0000655382949211e-03
220,9.9999999999999995e-07,1.0000000000000000e+03,1,65536,1.5258789062500000e+01,1.0000655392950523e-03
221,9.9999999999999995e-07,1.0000000000000000e+03,2,65527,1.7529411726979790e+41,5.0001638203671644e-04
222,9.9999999999999995e-07,1.0000000000000000e+03,2,65528,5.7432488111690240e+36,5.0001638228673291e-04
223,9.9999999999999995e-07,1.0000000000000000e+03,2,65529,1.8817180404914190e+32,5.0001638253674928e-04
224,9.9999999999999995e-07,1.0000000000000000e+03,2,65530,6.1653550737681109e+27,5.0001638278676565e-04
225,9.9999999999999995e-07,1.0000000000000000e+03,2,65531,2.0200785899201210e+23,5.0001638303678203e-04
226,9.9999999999999995e-07,1.0000000000000000e+03,2,65532,6.6188885038027715e+18,5.0001638328679840e-04
227,9.9999999999999995e-07,1.0000000000000000e+03,2,65533,2.1687450071560159e+14,5.0001638353681477e-04
228,9.9999999999999995e-07,1.0000000000000000e+03,2,65534,7.1062183276972589e+09,5.0001638378683114e-04
229,9.9999999999999995e-07,1.0000000000000000e+03,2,65535,2.3284945544365607e+05,5.0001638403684751e-04
230,9.9999999999999995e-07,1.0000000000000000e+03,2,65536,1.5258789062500000e+01,1.0000327685737280e-03
231,9.9999999999999995e-07,1.0000000000000000e+03,3,65527,2.9950643317893676e+42,3.3334061415902540e-04
232,9.9999999999999995e-07,1.0000000000000000e+03,3,65528,6.5419193489720627e+37,3.3334061427014132e-04
233,9.9999999999999995e-07,1.0000000000000000e+03,3,65529,1.4289296369981382e+33,3.3334061438125730e-04
234,9.9999999999999995e-07,1.0000000000000000e+03,3,65530,3.1212110060950324e+28,3.3334061449237328e-04
235,9.9999999999999995e-07,1.0000000000000000e+03,3,65531,6.8177652409802503e+23,3.3334061460348925e-04
236,9.9999999999999995e-07,1.0000000000000000e+03,3,65532,1.4892499133555886e+19,3.3334061471460523e-04
237,9.9999999999999995e-07,1.0000000000000000e+03,3,65533,3.2531175107339481e+14,3.3334061482572115e-04
238,9.9999999999999995e-07,1.0000000000000000e+03,3,65534,7.1062183276972589e+09,3.3334061493683713e-04
239,9.9999999999999995e-07,1.0000000000000000e+03,3,65535,2.3284945544365607e+05,5.0001092257192961e-04
240,9.9999999999999995e-07,1.0000000000000000e+03,3,65536,1.5258789062500000e+01,1.0000327682158107e-03
241,1.0000000000000001e-05,1.0000000000000000e+00,1,65527,1.9575889428696101e+02,2.9005768896635913e+00
242,1.0000000000000001e-05,1.0000000000000000e+00,1,65528,1.2727493065941691e+02,2.9006610184898616e+00
243,1.0000000000000001e-05,1.0000000000000000e+00,1,65529,8.2400716562502751e+01,2.9007451521960368e+00
244,1.0000000000000001e-05,1.0000000000000000e+00,1,65530,5.2996365556242438e+01,2.9008292907825410e+00
245,1.0000000000000001e-05,1.0000000000000000e+00,1,65531,3.3728518349005661e+01,2.9009134342497993e+00
246,1.0000000000000001e-05,1.0000000000000000e+00,1,65532,2.1102635359286907e+01,2.9009975825982361e+00
247,1.0000000000000001e-05,1.0000000000000000e+00,1,65533,1.2828979003647895e+01,2.9010817358282761e+00
248,1.0000000000000001e-05,1.0000000000000000e+00,1,65534,7.4072148104605775e+00,2.9011658939403446e+00
249,1.0000000000000001e-05,1.0000000000000000e+00,1,65535,3.8542441538872350e+00,2.9012500569348654e+00
250,1.0000000000000001e-05,1.0000000000000000e+00,1,65536,1.5258789062499998e+00,2.9013342248122642e+00
251,1.0000000000000001e-05,1.0000000000000000e+00,2,65527,3.4613423871042309e+04,7.4363548085155129e-01
252,1.0000000000000001e-05,1.0000000000000000e+00,2,65528,1.1340069129988944e+04,7.4364101076879807e-01
253,1.0000000000000001e-05,1.0000000000000000e+00,2,65529,3.7149602497495785e+03,7.4364654076828907e-01
254,1.0000000000000001e-05,1.0000000000000000e+00,2,65530,1.2166881510292010e+03,7.4365207085002605e-01
255,1.0000000000000001e-05,1.0000000000000000e+00,2,65531,3.9814787268471764e+02,7.4365760101401102e-01
256,1.0000000000000001e-05,1.0000000000000000e+00,2,65532,1.2995514122451118e+02,7.4366313126024575e-01
257,1.0000000000000001e-05,1.0000000000000000e+00,2,65533,4.2081101573623343e+01,7.4366866158873213e-01
258,1.0000000000000001e-05,1.0000000000000000e+00,2,65534,1.3288504147121294e+01,7.4367419199947193e-01
259,1.0000000000000001e-05,1.0000000000000000e+00,2,65535,3.8542441538872350e+00,7.4367972249246694e-01
260,1.0000000000000001e-05,1.0000000000000000e+00,2,65536,1.5258789062499998e+00,1.4873705061354383e+00
261,1.0000000000000001e-05,1.0000000000000000e+00,3,65527,5.7804705351825303e+05,4.2648601045621037e-01
262,1.0000000000000001e-05,1.0000000000000000e+00,3,65528,1.2625863091963525e+05,4.2648782935721363e-01
263,1.0000000000000001e-05,1.0000000000000000e+00,3,65529,2.7577918556339529e+04,4.2648964827373165e-01
264,1.0000000000000001e-05,1.0000000000000000e+00,3,65530,6.0235114169279113e+03,4.2649146720576453e-01
265,1.0000000000000001e-05,1.0000000000000000e+00,3,65531,1.3154023438376200e+03,4.2649328615331250e-01
266,1.0000000000000001e-05,1.0000000000000000e+00,3,65532,2.8699876998007699e+02,4.2649510511637578e-01
267,1.0000000000000001e-05,1.0000000000000000e+00,3,65533,6.2358677981114674e+01,4.2649692409495443e-01
268,1.0000000000000001e-05,1.0000000000000000e+00,3,65534,1.3288504147121294e+01,4.2649874308904878e-01
269,1.0000000000000001e-05,1.0000000000000000e+00,3,65535,3.8542441538872350e+00,6.3975084314798858e-01
270,1.0000000000000001e-05,1.0000000000000000e+00,3,65536,1.5258789062499998e+00,1.4192607150570344e+00
271,1.0000000000000001e-05,1.0000000000000000e+01,1,65527,7.3271706601179352e+10,1.0701206507217209e-01
272,1.0000000000000001e-05,1.0000000000000000e+01,1,65528,4.8012751183554792e+09,1.0701217958798423e-01
273,1.0000000000000001e-05,1.0000000000000000e+01,1,65529,3.1461795585559779e+08,1.0701229410404142e-01
274,1.0000000000000001e-05,1.0000000000000000e+01,1,65530,2.0616599929261472e+07,1.0701240862034374e-01
275,1.0000000000000001e-05,1.0000000000000000e+01,1,65531,1.3510056933645045e+06,1.0701252313689112e-01
276,1.0000000000000001e-05,1.0000000000000000e+01,1,65532,8.8532654091869364e+04,1.0701263765368361e-01
277,1.0000000000000001e-05,1.0000000000000000e+01,1,65533,5.8016218879483840e+03,1.0701275217072120e-01
278,1.0000000000000001e-05,1.0000000000000000e+01,1,65534,3.8009768718292145e+02,1.0701286668800387e-01
279,1.0000000000000001e-05,1.0000000000000000e+01,1,65535,2.4809321831845569e+01,1.0701298120553165e-01
280,1.0000000000000001e-05,1.0000000000000000e+01,1,65536,1.5258789062499998e+00,1.0701309572330453e-01
281,1.0000000000000001e-05,1.0000000000000000e+01,2,65527,1.8715911450130707e+13,5.1693637779052587e-02
282,1.0000000000000001e-05,1.0000000000000000e+01,2,65528,6.1319876479630750e+11,5.1693664501373991e-02
283,1.0000000000000001e-05,1.0000000000000000e+01,2,65529,2.0090844329736210e+10,5.1693691223723012e-02
284,1.0000000000000001e-05,1.0000000000000000e+01,2,65530,6.5826646899164224e+08,5.1693717946099678e-02
285,1.0000000000000001e-05,1.0000000000000000e+01,2,65531,2.1568100806511160e+07,5.1693744668503953e-02
286,1.0000000000000001e-05,1.0000000000000000e+01,2,65532,7.0668955697574152e+05,5.1693771390935866e-02
287,1.0000000000000001e-05,1.0000000000000000e+01,2,65533,2.3155340023867149e+04,5.1693798113395410e-02
288,1.0000000000000001e-05,1.0000000000000000e+01,2,65534,7.5866944889204296e+02,5.1693824835882571e-02
289,1.0000000000000001e-05,1.0000000000000000e+01,2,65535,2.4809321831845569e+01,5.1693851558397369e-02
290,1.0000000000000001e-05,1.0000000000000000e+01,2,65536,1.5258789062499998e+00,1.0338775656187958e-01
291,1.0000000000000001e-05,1.0000000000000000e+01,3,65527,3.1977146862448919e+14,3.4077657269771612e-02
292,1.0000000000000001e-05,1.0000000000000000e+01,3,65528,6.9845550081856016e+12,3.4077668882638773e-02
293,1.0000000000000001e-05,1.0000000000000000e+01,3,65529,1.5256130685876205e+11,3.4077680495513851e-02
294,1.0000000000000001e-05,1.0000000000000000e+01,3,65530,3.3323966256826067e+09,3.4077692108396840e-02
295,1.0000000000000001e-05,1.0000000000000000e+01,3,65531,7.2790650260327086e+07,3.4077703721287746e-02
296,1.0000000000000001e-05,1.0000000000000000e+01,3,65532,1.5900146674031648e+06,3.4077715334186569e-02
297,1.0000000000000001e-05,1.0000000000000000e+01,3,65533,3.4732247061421403e+04,3.4077726947093302e-02
298,1.0000000000000001e-05,1.0000000000000000e+01,3,65534,7.5866944889204296e+02,3.4077738560007953e-02
299,1.0000000000000001e-05,1.0000000000000000e+01,3,65535,2.4809321831845569e+01,5.1116625259395781e-02
300,1.0000000000000001e-05,1.0000000000000000e+01,3,65536,1.5258789062499998e+00,1.0334992803637451e-01
301,1.0000000000000001e-05,1.0000000000000000e+02,1,65527,6.8921460816296739e+19,1.0065958191003043e-02
302,1.0000000000000001e-05,1.0000000000000000e+02,1,65528,4.5162165629094771e+17,1.0065959204238186e-02
303,1.0000000000000001e-05,1.0000000000000000e+02,1,65529,2.9593863893433230e+15,1.0065960217473533e-02
304,1.0000000000000001e-05,1.0000000000000000e+02,1,65530,1.9392563070727844e+13,1.0065961230709082e-02
305,1.0000000000000001e-05,1.0000000000000000e+02,1,65531,1.2707946580246962e+11,1.0065962243944836e-02
306,1.0000000000000001e-05,1.0000000000000000e+02,1,65532,8.3276444734016359e+08,1.0065963257180795e-02
307,1.0000000000000001e-05,1.0000000000000000e+02,1,65533,5.4572719663095595e+06,1.0065964270416958e-02
308,1.0000000000000001e-05,1.0000000000000000e+02,1,65534,3.5763130376816451e+04,1.0065965283653324e-02
309,1.0000000000000001e-05,1.0000000000000000e+02,1,65535,2.3436009861142892e+02,1.0065966296889894e-02
310,1.0000000000000001e-05,1.0000000000000000e+02,1,65536,1.5258789062499998e+00,1.0065967310126668e-02
311,1.0000000000000001e-05,1.0000000000000000e+02,2,65527,1.7643513829489084e+22,5.0164353463006163e-03
312,1.0000000000000001e-05,1.0000000000000000e+02,2,65528,5.7806326535246578e+19,5.0164355979468523e-03
313,1.0000000000000001e-05,1.0000000000000000e+02,2,65529,1.8939664826008192e+17,5.0164358495931134e-03
314,1.0000000000000001e-05,1.0000000000000000e+02,2,65530,6.2054864819174512e+14,5.0164361012393997e-03
315,1.0000000000000001e-05,1.0000000000000000e+02,2,65531,2.0332276458002488e+12,5.0164363528857111e-03
316,1.0000000000000001e-05,1.0000000000000000e+02,2,65532,6.6619720428418064e+09,5.0164366045320477e-03
317,1.0000000000000001e-05,1.0000000000000000e+02,2,65533,2.1828617590575460e+07,5.0164368561784094e-03
318,1.0000000000000001e-05,1.0000000000000000e+02,2,65534,7.1524734828159111e+04,5.0164371078247972e-03
319,1.0000000000000001e-05,1.0000000000000000e+02,2,65535,2.3436009861142892e+02,5.0164373594712092e-03
320,1.0000000000000001e-05,1.0000000000000000e+02,2,65536,1.5258789062499998e+00,1.0032875222235295e-02
321,1.0000000000000001e-05,1.0000000000000000e+02,3,65527,3.0145596750799969e+23,3.3406299369979722e-03
322,1.0000000000000001e-05,1.0000000000000000e+02,3,65528,6.5845017276322310e+20,3.3406300485960558e-03
323,1.0000000000000001e-05,1.0000000000000000e+02,3,65529,1.4382307640276165e+18,3.3406301601941468e-03
324,1.0000000000000001e-05,1.0000000000000000e+02,3,65530,3.1415274578655230e+15,3.3406302717922456e-03
325,1.0000000000000001e-05,1.0000000000000000e+02,3,65531,6.8621431437975889e+12,3.3406303833903518e-03
326,1.0000000000000001e-05,1.0000000000000000e+02,3,65532,1.4989436745203327e+10,3.3406304949884650e-03
327,1.0000000000000001e-05,1.0000000000000000e+02,3,65533,3.2742925622888815e+07,3.3406306065865859e-03
328,1.0000000000000001e-05,1.0000000000000000e+02,3,65534,7.1524734828159111e+04,3.3406307181847142e-03
329,1.0000000000000001e-05,1.0000000000000000e+02,3,65535,2.3436009861142892e+02,5.0109462446742761e-03
330,1.0000000000000001e-05,1.0000000000000000e+02,3,65536,1.5258789062499998e+00,1.0032839236214473e-02
331,1.0000000000000001e-05,1.0000000000000000e+03,1,65527,6.8514678955708482e+28,1.0006556896406328e-03
332,1.0000000000000001e-05,1.0000000000000000e+03,1,65528,4.4895613679307099e+25,1.0006556996537508e-03
333,1.0000000000000001e-05,1.0000000000000000e+03,1,65529,2.9419197731776368e+22,1.0006557096668691e-03
334,1.0000000000000001e-05,1.0000000000000000e+03,1,65530,1.9278106081655738e+19,1.0006557196799877e-03
335,1.0000000000000001e-05,1.0000000000000000e+03,1,65531,1.2632942915309006e+16,1.0006557296931063e-03
336,1.0000000000000001e-05,1.0000000000000000e+03,1,65532,8.2784938218311445e+12,1.0006557397062251e-03
337,1.0000000000000001e-05,1.0000000000000000e+03,1,65533,5.4250625713213854e+09,1.0006557497193444e-03
338,1.0000000000000001e-05,1.0000000000000000e+03,1,65534,3.5552062538640434e+06,1.0006557597324636e-03
339,1.0000000000000001e-05,1.0000000000000000e+03,1,65535,2.3298678664072627e+03,1.0006557697455831e-03
340,1.0000000000000001e-05,1.0000000000000000e+03,1,65536,1.5258789062499998e+00,1.0006557797587027e-03
341,1.0000000000000001e-05,1.0000000000000000e+03,2,65527,1.7539754044850013e+31,5.0016386868747848e-04
342,1.0000000000000001e-05,1.0000000000000000e+03,2,65528,5.7466373164844341e+27,5.0016387118911746e-04
343,1.0000000000000001e-05,1.0000000000000000e+03,2,65529,1.8828282503729609e+24,5.0016387369075644e-04
344,1.0000000000000001e-05,1.0000000000000000e+03,2,65530,6.1689926209344884e+20,5.0016387619239541e-04
345,1.0000000000000001e-05,1.0000000000000000e+03,2,65531,2.0212704322491850e+17,5.0016387869403450e-04
346,1.0000000000000001e-05,1.0000000000000000e+03,2,65532,6.6227936347860680e+13,5.0016388119567348e-04
347,1.0000000000000001e-05,1.0000000000000000e+03,2,65533,2.1700245623739529e+10,5.0016388369731257e-04
348,1.0000000000000001e-05,1.0000000000000000e+03,2,65534,7.1104109818026135e+06,5.0016388619895165e-04
349,1.0000000000000001e-05,1.0000000000000000e+03,2,65535,2.3298678664072627e+03,5.0016388870059085e-04
350,1.0000000000000001e-05,1.0000000000000000e+03,2,65536,1.5258789062499998e+00,1.0003277824044599e-03
351,1.0000000000000001e-05,1.0000000000000000e+03,3,65527,2.9968314136865121e+32,3.3340615590566345e-04
352,1.0000000000000001e-05,1.0000000000000000e+03,3,65528,6.5457790681545366e+28,3.3340615701726010e-04
353,1.0000000000000001e-05,1.0000000000000000e+03,3,65529,1.4297727025934351e+25,3.3340615812885676e-04
354,1.0000000000000001e-05,1.0000000000000000e+03,3,65530,3.1230525142748402e+21,3.3340615924045341e-04
355,1.0000000000000001e-05,1.0000000000000000e+03,3,65531,6.8217877086810086e+17,3.3340616035205006e-04
356,1.0000000000000001e-05,1.0000000000000000e+03,3,65532,1.4901285677919178e+14,3.3340616146364677e-04
357,1.0000000000000001e-05,1.0000000000000000e+03,3,65533,3.2550368434846317e+10,3.3340616257524343e-04
358,1.0000000000000001e-05,1.0000000000000000e+03,3,65534,7.1104109818026135e+06,3.3340616368684019e-04
359,1.0000000000000001e-05,1.0000000000000000e+03,3,65535,2.3298678664072627e+03,5.0010924719765524e-04
360,1.0000000000000001e-05,1.0000000000000000e+03,3,65536,1.5258789062499998e+00,1.0003277465951510e-03
